iter	Logloss
0	0.6542934383
1	0.622370323
2	0.5959691937
3	0.572297558
4	0.550257216
5	0.5312800217
6	0.5126419208
7	0.4955248672
8	0.4810039373
9	0.4661828287
10	0.4541753247
11	0.4441426225
12	0.4341565768
13	0.4255396607
14	0.4175820113
15	0.411059095
16	0.4042609247
17	0.3987513042
18	0.3929968403
19	0.387757374
20	0.3833407979
21	0.3795595615
22	0.3764751917
23	0.3741109433
24	0.3707335491
25	0.3676614981
26	0.3651909456
27	0.3621685855
28	0.3598279357
29	0.3570536357
30	0.3547495079
31	0.3526833776
32	0.3499412189
33	0.3478759036
34	0.3458499996
35	0.3437349717
36	0.3421889448
37	0.3408826148
38	0.3393520405
39	0.3377683798
40	0.3364169924
41	0.3347315159
42	0.3334433563
43	0.3319982929
44	0.331046752
45	0.3303831725
46	0.3294027519
47	0.3285078656
48	0.3275214087
49	0.3265835499
50	0.3255164486
51	0.3246757079
52	0.3239809152
53	0.3231172722
54	0.3224170173
55	0.3215895054
56	0.3207805772
57	0.320229646
58	0.3194953973
59	0.3189322329
60	0.3184749139
61	0.3180022604
62	0.3171718668
63	0.3166695782
64	0.3162700804
65	0.3158928515
66	0.3153606889
67	0.314859354
68	0.3142099372
69	0.3138263342
70	0.3134579941
71	0.3131213282
72	0.3126540519
73	0.3122088786
74	0.3118281836
75	0.3110559441
76	0.3107558194
77	0.3098944009
78	0.3094268828
79	0.3091300549
80	0.3088639834
81	0.3084969088
82	0.3080324112
83	0.3077503102
84	0.3073335489
85	0.307031658
86	0.3068213103
87	0.3064369578
88	0.3061286659
89	0.3058083887
90	0.305509542
91	0.3052926395
92	0.3050522764
93	0.304793198
94	0.3044387531
95	0.304251216
96	0.3039053476
97	0.3037001322
98	0.3035067634
99	0.3032657364
100	0.3029210838
101	0.3027632889
102	0.3025349379
103	0.3022645719
104	0.3020543936
105	0.3018146946
106	0.301449032
107	0.3012282865
108	0.3008157323
109	0.3002546191
110	0.3000030742
111	0.2998277861
112	0.299502992
113	0.2991689043
114	0.2989726095
115	0.2987874285
116	0.298664678
117	0.2983321942
118	0.2981800812
119	0.2980385744
120	0.2978240244
121	0.2976483617
122	0.2974960782
123	0.2973630165
124	0.2972348311
125	0.297080665
126	0.2969206313
