iter	Passed	Remaining
0	17	17680
1	26	13425
2	36	12033
3	48	12000
4	62	12390
5	78	12964
6	92	13117
7	105	13062
8	121	13343
9	139	13797
10	156	14110
11	174	14339
12	192	14579
13	210	14798
14	227	14921
15	246	15184
16	262	15175
17	275	15033
18	290	15023
19	308	15093
20	323	15095
21	335	14926
22	347	14781
23	358	14587
24	372	14539
25	386	14468
26	399	14383
27	412	14303
28	424	14215
29	440	14240
30	450	14093
31	468	14182
32	486	14248
33	504	14341
34	520	14349
35	537	14400
36	552	14389
37	568	14399
38	578	14258
39	589	14141
40	600	14042
41	612	13979
42	621	13834
43	632	13746
44	643	13648
45	656	13618
46	666	13505
47	675	13395
48	688	13368
49	703	13374
50	717	13342
51	725	13218
52	732	13092
53	742	13007
54	750	12902
55	765	12907
56	781	12926
57	797	12952
58	812	12958
59	824	12921
60	838	12907
61	851	12876
62	860	12802
63	869	12715
64	880	12668
65	892	12629
66	909	12670
67	931	12769
68	950	12828
69	971	12906
70	992	12983
71	1011	13038
72	1026	13037
73	1040	13025
74	1053	12995
75	1062	12923
76	1079	12944
77	1096	12955
78	1111	12954
79	1121	12891
80	1129	12815
81	1141	12781
82	1154	12757
83	1168	12742
84	1181	12715
85	1194	12691
86	1208	12683
87	1219	12643
88	1230	12599
89	1242	12561
90	1251	12503
91	1263	12471
92	1276	12450
93	1289	12432
94	1301	12395
95	1313	12368
96	1323	12317
97	1333	12271
98	1347	12264
99	1367	12308
100	1382	12309
101	1397	12305
102	1410	12280
103	1423	12265
104	1435	12236
105	1444	12185
106	1455	12150
107	1465	12102
108	1476	12066
109	1485	12018
110	1494	11968
111	1503	11923
112	1513	11880
113	1523	11844
114	1534	11809
115	1543	11761
116	1553	11723
117	1562	11679
118	1572	11638
119	1580	11587
120	1588	11537
121	1597	11494
122	1604	11441
123	1615	11414
124	1624	11370
125	1635	11344
126	1644	11306
127	1655	11276
128	1664	11240
129	1674	11208
130	1683	11170
131	1692	11131
132	1700	11086
133	1708	11042
134	1719	11018
135	1732	11004
136	1743	10979
137	1756	10973
138	1770	10963
139	1781	10941
140	1794	10933
141	1807	10923
142	1817	10892
143	1827	10861
144	1836	10826
145	1850	10826
146	1868	10842
147	1881	10828
148	1893	10813
149	1909	10820
150	1923	10813
151	1940	10824
152	1951	10805
153	1964	10793
154	1978	10783
155	1992	10778
156	2007	10781
157	2026	10800
158	2041	10797
159	2058	10805
160	2072	10802
161	2084	10784
162	2097	10770
163	2109	10751
164	2122	10741
165	2137	10739
166	2150	10726
167	2162	10711
168	2173	10688
169	2184	10663
170	2194	10637
171	2203	10607
172	2212	10578
173	2225	10566
174	2238	10553
175	2249	10533
176	2260	10512
177	2272	10492
178	2282	10468
179	2294	10450
180	2303	10425
181	2312	10395
182	2324	10377
183	2335	10359
184	2344	10330
185	2357	10317
186	2368	10297
187	2378	10274
188	2390	10257
189	2400	10233
190	2407	10197
191	2417	10173
192	2426	10145
193	2434	10114
194	2443	10087
195	2454	10067
196	2465	10049
197	2476	10031
198	2486	10009
199	2495	9983
200	2506	9963
201	2512	9925
202	2522	9904
203	2532	9883
204	2542	9858
205	2551	9833
206	2562	9815
207	2570	9787
208	2580	9765
209	2590	9744
210	2600	9722
211	2610	9704
212	2624	9695
213	2634	9677
214	2643	9651
215	2653	9630
216	2662	9607
217	2670	9581
218	2681	9561
219	2689	9535
220	2698	9512
221	2708	9491
222	2716	9465
223	2727	9447
224	2738	9434
225	2749	9415
226	2760	9400
227	2773	9390
228	2783	9370
229	2794	9356
